,column0,date,season,league_name,country,home_team,home_team_score,away_team_score,away_team,match_status
389,389,2024-02-24,2023,League One,England,Barnsley,,,Derby,Not Started
390,390,2024-02-24,2023,League One,England,Blackpool,,,Bolton,Not Started
391,391,2024-02-24,2023,League One,England,Bristol Rovers,,,Carlisle,Not Started
392,392,2024-02-24,2023,League One,England,Burton Albion,,,Northampton,Not Started
393,393,2024-02-24,2023,League One,England,Cambridge United,,,Peterborough,Not Started
394,394,2024-02-24,2023,League One,England,Exeter City,,,Fleetwood Town,Not Started
395,395,2024-02-24,2023,League One,England,Oxford United,,,Leyton Orient,Not Started
396,396,2024-02-24,2023,League One,England,Port Vale,,,Lincoln,Not Started
397,397,2024-02-24,2023,League One,England,Reading,,,Shrewsbury,Not Started
398,398,2024-02-24,2023,League One,England,Stevenage,,,Wycombe,Not Started
544,544,2024-02-24,2023,League One,England,Charlton,,,Portsmouth,Not Started
1192,1192,2024-02-24,2023,Süper Lig,Turkey,Konyaspor,,,Hatayspor,Not Started
1194,1194,2024-02-24,2023,Süper Lig,Turkey,Fenerbahce,,,Kasimpasa,Not Started
1197,1197,2024-02-24,2023,Süper Lig,Turkey,Gazişehir Gaziantep,,,Istanbul Basaksehir,Not Started
1200,1200,2024-02-24,2023,Süper Lig,Turkey,Kayserispor,,,Ankaragucu,Not Started
1492,1492,2024-02-24,2023,I Liga,Poland,Podbeskidzie,,,Odra Opole,Not Started
1495,1495,2024-02-24,2023,I Liga,Poland,Wisla Plock,,,GKS Katowice,Not Started
1496,1496,2024-02-24,2023,I Liga,Poland,Motor Lublin,,,Nieciecza,Not Started
1762,1762,2024-02-24,2023,Super League,Switzerland,FC ST. Gallen,,,Stade Lausanne-Ouchy,Not Started
1763,1763,2024-02-24,2023,Super League,Switzerland,Yverdon Sport,,,FC Basel 1893,Not Started
1764,1764,2024-02-24,2023,Super League,Switzerland,Grasshoppers,,,FC Luzern,Not Started
1929,1929,2024-02-24,2023,Challenge League,Switzerland,Baden,,,Stade Nyonnais,Not Started
1930,1930,2024-02-24,2023,Challenge League,Switzerland,Bellinzona,,,FC Vaduz,Not Started
2588,2588,2024-02-24,2023,Non League Premier - Northern,England,Ashton United,,,Lancaster City,Not Started
2589,2589,2024-02-24,2023,Non League Premier - Northern,England,Atherton Collieries,,,Macclesfield,Not Started
2590,2590,2024-02-24,2023,Non League Premier - Northern,England,Basford United,,,Marske United,Match Cancelled
2591,2591,2024-02-24,2023,Non League Premier - Northern,England,Ilkeston Town,,,Radcliffe,Not Started
2592,2592,2024-02-24,2023,Non League Premier - Northern,England,Marine,,,Bradford (Park Avenue),Not Started
2593,2593,2024-02-24,2023,Non League Premier - Northern,England,Morpeth Town,,,United of Manchester,Not Started
2594,2594,2024-02-24,2023,Non League Premier - Northern,England,Stafford Rangers,,,Guiseley AFC,Not Started
2595,2595,2024-02-24,2023,Non League Premier - Northern,England,Rylands,,,Gainsborough Trinity,Not Started
2596,2596,2024-02-24,2023,Non League Premier - Northern,England,Whitby Town,,,Hyde United,Not Started
2597,2597,2024-02-24,2023,Non League Premier - Northern,England,Workington,,,Matlock Town,Not Started
2598,2598,2024-02-24,2023,Non League Premier - Northern,England,Worksop Town,,,Bamber Bridge,Not Started
3303,3303,2024-02-24,2023,Serie B,Italy,Cittadella,,,Catanzaro,Not Started
3304,3304,2024-02-24,2023,Serie B,Italy,Como,,,Parma,Not Started
3306,3306,2024-02-24,2023,Serie B,Italy,Cremonese,,,Palermo,Not Started
3307,3307,2024-02-24,2023,Serie B,Italy,Feralpisalo,,,Ascoli,Not Started
3309,3309,2024-02-24,2023,Serie B,Italy,Pisa,,,Venezia,Not Started
3310,3310,2024-02-24,2023,Serie B,Italy,Sudtirol,,,Bari,Not Started
3311,3311,2024-02-24,2023,Serie B,Italy,Ternana,,,Lecco,Not Started
3445,3445,2024-02-24,2023,Serie B,Italy,Brescia,,,Reggiana,Not Started
4017,4017,2024-02-24,2023,Serie A,Italy,Genoa,,,Udinese,Not Started
4022,4022,2024-02-24,2023,Serie A,Italy,Salernitana,,,Monza,Not Started
4023,4023,2024-02-24,2023,Serie A,Italy,Sassuolo,,,Empoli,Not Started
4333,4333,2024-02-24,2023,Ekstraklasa,Poland,Jagiellonia,,,Ruch Chorzów,Not Started
4335,4335,2024-02-24,2023,Ekstraklasa,Poland,Lech Poznan,,,Slask Wroclaw,Not Started
4339,4339,2024-02-24,2023,Ekstraklasa,Poland,Stal Mielec,,,Raków Częstochowa,Not Started
4691,4691,2024-02-24,2023,Primera División RFEF - Group 1,Spain,Sabadell,,,Real Unión,Not Started
4693,4693,2024-02-24,2023,Primera División RFEF - Group 1,Spain,Celta de Vigo II,,,Sestao River,Not Started
4694,4694,2024-02-24,2023,Primera División RFEF - Group 1,Spain,Ponferradina,,,Real Sociedad II,Not Started
4695,4695,2024-02-24,2023,Primera División RFEF - Group 1,Spain,Rayo Majadahonda,,,Cornellà,Not Started
4697,4697,2024-02-24,2023,Primera División RFEF - Group 1,Spain,SD Logroñés,,,Arenteiro,Not Started
4699,4699,2024-02-24,2023,Primera División RFEF - Group 1,Spain,Tarazona,,,Unionistas de Salamanca,Not Started
5336,5336,2024-02-24,2023,Segunda Liga,Portugal,Nacional,,,Penafiel,Not Started
5337,5337,2024-02-24,2023,Segunda Liga,Portugal,Benfica B,,,Vilaverdense,Not Started
5340,5340,2024-02-24,2023,Segunda Liga,Portugal,Santa Clara,,,Oliveirense,Not Started
5341,5341,2024-02-24,2023,Segunda Liga,Portugal,FC Porto B,,,Leixoes,Not Started
5343,5343,2024-02-24,2023,Segunda Liga,Portugal,Tondela,,,União de Leiria,Not Started
6143,6143,2024-02-24,2023,Championship,England,Blackburn,,,Norwich,Not Started
6144,6144,2024-02-24,2023,Championship,England,Cardiff,,,Stoke City,Not Started
6146,6146,2024-02-24,2023,Championship,England,Hull City,,,West Brom,Not Started
6147,6147,2024-02-24,2023,Championship,England,Ipswich,,,Birmingham,Not Started
6149,6149,2024-02-24,2023,Championship,England,Middlesbrough,,,Plymouth,Not Started
6150,6150,2024-02-24,2023,Championship,England,QPR,,,Rotherham,Not Started
6151,6151,2024-02-24,2023,Championship,England,Sheffield Wednesday,,,Bristol City,Not Started
6152,6152,2024-02-24,2023,Championship,England,Southampton,,,Millwall,Not Started
6153,6153,2024-02-24,2023,Championship,England,Sunderland,,,Swansea,Not Started
6154,6154,2024-02-24,2023,Championship,England,Watford,,,Huddersfield,Not Started
6430,6430,2024-02-24,2023,NB I,Hungary,Debreceni VSC,,,Puskas Academy,Not Started
6431,6431,2024-02-24,2023,NB I,Hungary,Diosgyori VTK,,,Videoton FC,Not Started
6432,6432,2024-02-24,2023,NB I,Hungary,Zalaegerszegi TE,,,Kecskeméti TE,Not Started
6680,6680,2024-02-24,2023,Pro League,Saudi-Arabia,Al-Hazm,,,Al Khaleej Saihat,Not Started
6686,6686,2024-02-24,2023,Pro League,Saudi-Arabia,Al Taee,,,Al-Ahli Jeddah,Not Started
6973,6973,2024-02-24,2023,Czech Liga,Czech-Republic,Hradec Králové,,,Mlada Boleslav,Not Started
6974,6974,2024-02-24,2023,Czech Liga,Czech-Republic,Plzen,,,Zlin,Not Started
6976,6976,2024-02-24,2023,Czech Liga,Czech-Republic,Baník Ostrava,,,Bohemians 1905,Not Started
6977,6977,2024-02-24,2023,Czech Liga,Czech-Republic,Teplice,,,Karviná,Not Started
6978,6978,2024-02-24,2023,Czech Liga,Czech-Republic,Slovan Liberec,,,FK Jablonec,Not Started
7246,7246,2024-02-24,2023,2. Bundesliga,Germany,FC Kaiserslautern,,,Karlsruher SC,Not Started
7247,7247,2024-02-24,2023,2. Bundesliga,Germany,FC Magdeburg,,,FC Schalke 04,Not Started
7249,7249,2024-02-24,2023,2. Bundesliga,Germany,Eintracht Braunschweig,,,Hertha Berlin,Not Started
7250,7250,2024-02-24,2023,2. Bundesliga,Germany,VfL Osnabruck,,,Hannover 96,Not Started
7520,7520,2024-02-24,2023,First League,Bulgaria,Levski Sofia,,,Arda Kardzhali,Not Started
7521,7521,2024-02-24,2023,First League,Bulgaria,Lokomotiv Plovdiv,,,Hebar 1918,Not Started
7526,7526,2024-02-24,2023,First League,Bulgaria,Cherno More Varna,,,CSKA Sofia,Not Started
8081,8081,2024-02-24,2023,1. SNL,Slovenia,Aluminij,,,Olimpija Ljubljana,Not Started
8271,8271,2024-02-24,2023,Championship,Scotland,Arbroath,,,Inverness CT,Not Started
