Date,HomeTeam,HomeScore,AwayScore,AwayTeam
2023-09-02,Bristol Rovers,1,1,Lincoln
2023-10-03,Blackpool,1,3,Derby
2024-03-16,Lincoln,,,Bristol Rovers
2024-03-29,Derby,,,Blackpool
2023-06-22,Coritiba,0,1,Internacional
2023-10-29,Internacional,3,4,Coritiba
2023-08-12,Kayserispor,0,0,Galatasaray
2023-08-19,Hatayspor,0,0,Kasimpasa
2023-09-26,İstanbulspor,0,1,Galatasaray
2023-08-26,Kasimpasa,1,1,Pendikspor
2023-12-04,Fenerbahce,4,1,Sivasspor
2024-01-10,Fenerbahce,7,1,Konyaspor
2024-01-07,Galatasaray,3,0,Konyaspor
2024-01-15,Galatasaray,2,1,Kayserispor
2024-01-20,Kasimpasa,3,0,Hatayspor
2024-01-25,Galatasaray,3,1,İstanbulspor
2024-01-23,Pendikspor,3,2,Kasimpasa
2024-04-14,Sivasspor,,,Fenerbahce
2024-04-28,Konyaspor,,,Fenerbahce
2024-05-19,Konyaspor,,,Galatasaray
2023-08-12,Tychy 71,1,0,Wisla Krakow
2023-08-25,Lechia Gdansk,3,0,Podbeskidzie
2023-08-27,Wisla Krakow,5,1,Arka Gdynia
2023-09-03,Zaglebie Sosnowiec,5,2,Lechia Gdansk
2023-11-05,Motor Lublin,2,2,Wisla Plock
2024-02-23,Wisla Krakow,,,Tychy 71
2024-03-10,Podbeskidzie,,,Lechia Gdansk
2024-03-08,Arka Gdynia,,,Wisla Krakow
2024-03-16,Lechia Gdansk,,,Zaglebie Sosnowiec
2024-05-04,Wisla Plock,,,Motor Lublin
2023-09-03,Servette FC,0,1,BSC Young Boys
2023-12-03,BSC Young Boys,1,1,Servette FC
2024-02-25,BSC Young Boys,,,Servette FC
2023-08-04,FC Sion,1,0,Bellinzona
2023-08-06,FC Aarau,2,3,Neuchatel Xamax FC
2023-08-11,Neuchatel Xamax FC,4,0,FC Thun
2023-08-25,Stade Nyonnais,1,2,FC Sion
2023-09-25,FC Sion,2,3,FC Thun
2023-09-29,Neuchatel Xamax FC,0,3,FC Sion
2023-10-07,FC Thun,1,1,Neuchatel Xamax FC
2023-10-27,FC Sion,1,0,Neuchatel Xamax FC
2023-11-05,Bellinzona,1,2,FC Sion
2023-12-12,FC Sion,1,1,Stade Nyonnais
2023-12-08,FC Thun,1,1,FC Sion
2023-12-15,Neuchatel Xamax FC,2,1,FC Aarau
2024-02-23,Neuchatel Xamax FC,,,FC Thun
2024-03-01,FC Aarau,,,Neuchatel Xamax FC
2024-03-03,FC Sion,,,Bellinzona
2024-03-08,Neuchatel Xamax FC,,,FC Sion
2024-03-15,FC Sion,,,FC Thun
2024-03-29,Stade Nyonnais,,,FC Sion
2024-04-05,FC Thun,,,Neuchatel Xamax FC
2024-04-12,Neuchatel Xamax FC,,,FC Aarau
2024-04-19,FC Sion,,,Stade Nyonnais
2024-04-22,FC Thun,,,FC Sion
2024-04-26,FC Sion,,,Neuchatel Xamax FC
2024-05-17,Bellinzona,,,FC Sion
2023-08-29,Reggiana,1,3,Palermo
2024-04-27,Palermo,,,Reggiana
2023-09-19,Al-Faisaly FC,0,1,Al-Qadisiyah FC
2023-12-13,Jeddah Club,1,1,Al Safa
2024-01-01,Al-Faisaly FC,1,2,Al Najma
2024-01-10,Al Orubah,2,2,Al-Faisaly FC
2024-02-27,Al-Qadisiyah FC,,,Al-Faisaly FC
2024-05-01,Al Safa,,,Jeddah Club
2024-05-21,Al Najma,,,Al-Faisaly FC
2024-05-28,Al-Faisaly FC,,,Al Orubah
2023-09-24,Atalanta,2,0,Cagliari
2023-09-24,Empoli,0,1,Inter
2023-11-27,Bologna,2,0,Torino
2024-01-06,Inter,2,1,Verona
2024-03-30,Inter,,,Empoli
2024-04-07,Cagliari,,,Atalanta
2024-05-05,Torino,,,Bologna
2024-05-26,Verona,,,Inter
2023-10-22,Gornik Zabrze,2,1,Raków Częstochowa
2024-04-20,Raków Częstochowa,,,Gornik Zabrze
2023-09-23,Deportivo La Coruna,1,1,Cornellà
2024-03-30,Cornellà,,,Deportivo La Coruna
2023-08-27,Kazincbarcikai,1,0,Ajka
2023-09-03,Ajka,1,2,Vasas
2023-09-27,Gyirmot SE,2,1,Ajka
2024-03-03,Ajka,,,Kazincbarcikai
2024-03-10,Vasas,,,Ajka
2024-03-31,Ajka,,,Gyirmot SE
2023-09-17,Oliveirense,2,2,Academico Viseu
2023-09-30,Maritimo,1,2,Mafra
2023-09-30,Oliveirense,1,1,Santa Clara
2023-10-06,Santa Clara,2,0,Academico Viseu
2023-12-09,FC Porto B,2,3,AVS
2024-02-18,Academico Viseu,2,2,Oliveirense
2024-02-25,Mafra,,,Maritimo
2024-02-24,Santa Clara,,,Oliveirense
2024-03-04,Academico Viseu,,,Santa Clara
2024-04-21,AVS,,,FC Porto B
2023-10-03,Ipswich,3,0,Hull City
2023-12-16,Leeds,1,1,Coventry
2024-04-06,Coventry,,,Leeds
2024-04-27,Hull City,,,Ipswich
2023-07-29,Ujpest,2,1,Videoton FC
2023-08-06,Videoton FC,3,5,Ferencvarosi TC
2023-08-13,Ferencvarosi TC,1,2,Puskas Academy
2023-08-18,Puskas Academy,2,2,Videoton FC
2023-10-22,Diosgyori VTK,1,2,Ferencvarosi TC
2023-10-29,Ferencvarosi TC,3,0,Ujpest
2023-10-28,Videoton FC,4,0,Diosgyori VTK
2023-11-04,Videoton FC,2,1,Ujpest
2023-11-12,Ferencvarosi TC,0,1,Videoton FC
2023-11-26,Puskas Academy,1,1,Ferencvarosi TC
2023-12-02,Videoton FC,3,1,Puskas Academy
2024-02-17,Ferencvarosi TC,,,Diosgyori VTK
2024-02-25,Ujpest,,,Ferencvarosi TC
2024-02-24,Diosgyori VTK,,,Videoton FC
2024-03-03,Ujpest,,,Videoton FC
2024-03-10,Videoton FC,,,Ferencvarosi TC
2024-03-17,Ferencvarosi TC,,,Puskas Academy
2024-03-30,Puskas Academy,,,Videoton FC
2024-05-11,Diosgyori VTK,,,Ferencvarosi TC
2024-05-18,Ferencvarosi TC,,,Ujpest
2024-05-18,Videoton FC,,,Diosgyori VTK
2023-07-30,Plzen,1,1,Hradec Králové
2023-08-05,Sparta Praha,5,2,Pardubice
2023-11-25,Hradec Králové,1,1,Plzen
2023-12-03,Pardubice,1,2,Sparta Praha
2023-10-21,SC Paderborn 07,2,2,FC St. Pauli
2024-03-31,FC St. Pauli,,,SC Paderborn 07
2023-11-02,Slavia Sofia,0,2,Ludogorets
2023-08-26,CSKA Sofia,1,1,Cherno More Varna
2023-09-15,Cherno More Varna,2,0,Beroe
2023-09-26,Beroe,0,0,CSKA 1948
2023-10-02,Hebar 1918,0,0,Levski Krumovgrad
2023-10-08,CSKA 1948,1,0,Botev Plovdiv
2023-10-26,Botev Plovdiv,6,0,Lokomotiv Sofia
2023-11-27,Ludogorets,2,3,Slavia Sofia
2024-02-24,Cherno More Varna,,,CSKA Sofia
2024-03-09,Beroe,,,Cherno More Varna
2024-03-30,CSKA 1948,,,Beroe
2024-04-03,Levski Krumovgrad,,,Hebar 1918
2024-04-06,Botev Plovdiv,,,CSKA 1948
2024-04-20,Lokomotiv Sofia,,,Botev Plovdiv
2023-08-20,Rogaška,2,2,Maribor
2023-08-20,NK Domzale,1,2,Celje
2023-08-26,Maribor,1,1,NK Domzale
2023-10-28,Maribor,2,1,Rogaška
2023-10-27,Celje,3,1,NK Domzale
2023-11-04,NK Domzale,1,2,Maribor
2024-02-25,Rogaška,,,Maribor
2024-02-25,NK Domzale,,,Celje
2024-03-02,Maribor,,,NK Domzale
2024-04-20,Maribor,,,Rogaška
